1,2,8,3,443,,520,,2,3,41,
1,2,5,1,492,540,513,557,1,2,11,
1,1,5,2,398,,405,444,1,2,56,
1,1,6,2,419,453,444,479,1,1,14,
1,1,7,1,360,,320,,1,1,33,
2,2,4,3,451,571,506,627,2,3,4,
1,2,7,2,,,,,2,3,21,
2,2,7,2,451,604,473,553,1,2,40,
2,2,6,3,419,497,473,510,,2,76,
1,2,8,2,422,533,454,542,2,2,38,
2,2,6,2,467,544,489,562,1,3,51,
1,2,6,2,460,604,559,578,2,4,37,
1,1,6,1,,,,,1,1,28,
1,2,5,2,418,516,439,520,2,2,56,
2,1,8,1,424,460,434,484,1,1,22,
2,2,6,3,447,,547,612,1,2,70,
1,2,6,1,,468,,562,2,3,51,
2,2,7,1,507,629,576,612,2,2,40,
2,2,4,3,430,590,489,529,2,2,66,
1,2,5,1,461,,559,,1,2,6,
1,2,7,1,422,478,449,515,2,2,1,
2,2,7,2,463,,489,584,2,2,70,
2,2,6,2,405,469,444,507,1,2,72,
2,1,8,3,428,482,528,507,2,1,19,
2,2,7,3,448,,500,,1,1,18,
1,1,7,2,434,548,449,500,2,3,20,
2,2,6,2,538,651,494,584,2,2,66,
1,2,8,3,460,533,500,497,2,3,51,
2,1,6,1,440,521,434,532,1,1,27,
2,2,7,3,414,,459,,1,2,3,
2,2,7,1,,,,,2,1,18,
2,1,7,2,400,,412,,1,3,46,
2,2,5,3,437,516,468,518,2,2,66,
2,2,8,1,395,485,439,512,2,2,66,
1,2,8,1,445,,449,,2,2,1,
1,2,5,3,431,527,463,500,2,3,61,
1,1,6,3,,524,,532,2,1,22,
2,2,8,2,437,503,468,512,2,2,69,
1,1,8,2,431,579,418,526,1,1,32,
2,2,5,2,439,507,478,502,2,2,75,
1,2,7,2,467,492,500,502,2,2,68,
2,2,5,2,413,439,468,493,2,4,60,
1,2,6,3,425,553,513,529,1,2,50,
2,2,1,2,402,456,478,495,1,4,2,
1,2,7,2,427,,454,,2,2,3,
1,2,7,3,397,,423,,2,3,17,
1,1,8,1,461,514,602,532,1,1,27,
2,2,6,1,465,571,506,542,2,2,68,
1,2,8,2,411,,454,,1,4,60,
2,1,8,1,403,454,444,481,1,3,17,
1,1,8,3,443,465,444,512,1,1,32,
2,2,7,2,433,604,468,538,1,2,64,
2,2,8,2,580,,576,,2,3,54,
1,2,7,3,,,,,2,4,37,
1,2,8,1,405,,423,,1,2,74,
1,1,7,3,436,475,484,523,2,3,51,
1,2,7,1,448,571,418,549,2,3,4,
1,2,6,1,483,629,576,592,2,2,40,
2,2,6,3,451,604,489,592,1,2,76,
1,2,6,3,437,,500,,2,4,10,
1,2,8,1,390,,434,,1,2,8,
2,1,7,1,393,,384,,1,1,32,
1,2,7,3,447,487,500,497,2,3,21,
1,2,8,1,436,558,520,549,2,2,69,
2,2,5,3,,,,,2,3,42,
1,2,6,1,455,,494,,2,2,7,
1,2,8,2,421,553,449,515,2,2,80,
2,2,5,2,456,571,576,572,2,4,10,
1,2,6,3,410,,459,,1,2,66,
1,2,3,1,434,,439,,1,2,6,
1,2,7,1,407,459,449,444,1,2,47,
1,1,7,2,398,475,412,472,1,1,32,
2,1,8,3,419,438,439,441,2,1,32,
2,1,6,3,427,527,547,545,1,1,16,
2,2,7,2,437,536,528,612,2,3,61,
2,1,7,2,407,,449,,,3,21,
2,2,5,2,425,,463,,1,3,51,
1,2,8,1,442,514,478,512,2,3,58,
1,2,8,3,421,,463,,2,2,8,
2,2,5,1,405,,439,,1,4,9,
2,2,5,2,476,,528,,2,3,58,
2,1,8,1,442,503,468,481,1,1,28,
1,2,6,2,468,629,547,601,2,2,76,
1,2,6,1,447,482,489,567,2,4,9,
2,2,7,3,445,,489,,2,4,9,
2,1,8,3,470,579,576,612,1,3,25,
1,1,7,3,422,501,478,510,2,3,17,
2,2,8,3,414,466,434,470,2,2,67,
2,1,7,3,436,530,489,520,2,4,37,
2,1,8,1,430,,513,,1,1,27,
1,2,5,2,460,651,506,612,2,2,73,
2,2,6,1,,451,,497,1,2,62,
2,1,6,1,,,468,,1,1,33,
2,2,7,1,427,,463,,1,2,6,
2,2,7,1,431,544,489,572,1,2,39,
2,2,8,3,422,451,454,461,2,2,38,
1,2,7,1,487,651,547,627,2,2,74,
1,2,7,2,497,604,547,627,2,2,3,
1,2,5,2,490,,626,,1,2,13,
1,1,8,3,428,,463,,1,1,30,
2,1,8,2,470,505,473,529,1,1,28,
2,2,8,2,436,503,494,562,2,2,62,
1,2,5,2,442,536,528,601,2,3,61,
2,2,8,1,448,536,528,562,2,2,62,
1,2,7,2,463,558,506,572,2,3,51,
1,2,6,2,448,509,528,535,2,2,50,
2,2,7,3,442,,513,,2,3,42,
1,2,8,3,510,604,626,601,2,2,74,
2,1,6,1,427,472,473,484,1,2,7,
1,2,6,2,437,524,547,526,2,4,37,
2,2,5,1,467,492,478,549,1,2,11,
